timestamp,yaw,yaw_virtual,velocity,filtered_velocity,forward_velocity,lateral_velocity,angular_velocity
1751113958.1013632,-1.0001373291015625,-1.0001373291015625,0.0,1.4507294893778657e-08,0.0,0,0.0
1751113958.151957,-1.0001373291015625,-1.0001373291015625,0.0,1.1605835915022927e-08,0.0,0,0.0
1751113958.2027185,-1.0001373291015625,-1.0001373291015625,0.0,9.284668732018342e-09,0.0,0,0.0
1751113958.25312,-1.9999008178710938,-1.9999008178710938,0.0,7.427734985614674e-09,0.0,0,0.0
1751113958.3037267,-1.9999008178710938,-1.9999008178710938,0.0,5.94218798849174e-09,0.0,0,0.0
1751113958.354299,-1.9999008178710938,-1.9999008178710938,0.0,4.753750390793392e-09,0.0,0,0.0
1751113958.4049942,-1.9999008178710938,-1.9999008178710938,0.0,3.8030003126347135e-09,0.0,0,0.0
1751113958.4552493,-1.9999008178710938,-1.9999008178710938,0.0,3.042400250107771e-09,0.0,0,0.0
1751113958.505843,-1.9999008178710938,-1.9999008178710938,0.0,2.433920200086217e-09,0.0,0,0.0
1751113958.5560977,-1.9999008178710938,-1.9999008178710938,0.0,1.9471361600689734e-09,0.0,0,0.0
1751113958.6067102,-1.9999008178710938,-1.9999008178710938,0.0,1.5577089280551788e-09,0.0,0,0.0
1751113958.6571934,-1.9999008178710938,-1.9999008178710938,0.0,1.246167142444143e-09,0.0,0,0.0
1751113958.7076278,-1.9999008178710938,-1.9999008178710938,0.0,9.969337139553144e-10,0.0,0,0.0
1751113958.7580624,-1.0001373291015625,-1.0001373291015625,0.0,7.975469711642516e-10,0.0,0,0.0
1751113958.8084018,0.0,0.0,0.0,6.380375769314013e-10,0.0,0,0.0
1751113958.8589845,0.0,0.0,0.0,5.104300615451211e-10,0.0,0,0.0
1751113958.9094331,0.0,0.0,0.0,4.083440492360969e-10,0.0,0,0.0
1751113958.9600148,0.0,0.0,0.0,3.2667523938887756e-10,0.0,0,0.0
1751113959.0106566,0.0,0.0,0.0,2.6134019151110204e-10,0.0,0,0.0
1751113959.0613875,0.0,0.0,0.0,2.0907215320888164e-10,0.0,0,0.0
1751113959.1118617,0.0,0.0,0.0,1.6725772256710532e-10,0.0,0,0.0
1751113959.162393,0.0,0.0,0.0,1.3380617805368426e-10,0.0,0,0.0
1751113959.2127228,-1.0001373291015625,-1.0001373291015625,0.0,1.0704494244294741e-10,0.0,0,0.0
1751113959.2634058,-1.0001373291015625,-1.0001373291015625,0.0,8.563595395435794e-11,0.0,0,0.0
1751113959.3136973,-1.0001373291015625,-1.0001373291015625,0.0,6.850876316348635e-11,0.0,0,0.0
1751113959.3644,-1.9999008178710938,-1.9999008178710938,0.0,5.480701053078908e-11,0.0,0,0.0
1751113959.4149668,-1.9999008178710938,-1.9999008178710938,0.0,4.384560842463127e-11,0.0,0,0.0
1751113959.4657218,-2.9999618530273438,-2.9999618530273438,0.0,3.507648673970502e-11,0.0,0,0.0
1751113959.5160315,-2.9999618530273438,-2.9999618530273438,0.0,2.8061189391764017e-11,0.0,0,0.0
1751113959.566462,-2.9999618530273438,-2.9999618530273438,0.0,2.2448951513411215e-11,0.0,0,0.0
1751113959.6170602,-2.9999618530273438,-2.9999618530273438,0.0,1.7959161210728974e-11,0.0,0,0.0
1751113959.667327,-3.9999542236328125,-3.9999542236328125,0.05300000309944153,0.010600000634255634,0.0,0,0.0
1751113959.7179902,-4.999969482421875,-4.999969482421875,0.052000001072883606,0.01888000072198123,0.0,0,0.0
1751113959.7683456,-1.9999008178710938,-1.9999008178710938,0.05000000074505806,0.025104000726596597,0.0,0,0.0
1751113959.8187585,-6.000053405761719,-6.000053405761719,0.0,0.02008320058127728,0.0,0,0.0
1751113959.869222,-6.000053405761719,-6.000053405761719,0.0,0.016066560465021824,0.0,0,0.0
1751113959.9198287,-7.000007629394531,-7.000007629394531,0.0,0.01285324837201746,0.0,0,0.0
1751113959.970082,-7.9999542236328125,-7.9999542236328125,0.0430000014603138,0.01888259898967673,0.0,0,0.0
1751113960.0205975,-7.9999542236328125,-7.9999542236328125,0.0,0.015106079191741385,0.0,0,0.0
1751113960.0712478,-9.999969482421875,-9.999969482421875,0.039000000804662704,0.019884863514325647,0.0,0,0.0
1751113960.1219296,-9.999969482421875,-9.999969482421875,0.039000000804662704,0.023707890972393057,0.0,0,0.0
1751113960.1722898,-11.0,-11.0,0.03700000047683716,0.02636631287328188,0.0,0,0.0
1751113960.2241676,-11.0,-11.0,0.03700000047683716,0.028493050393992938,0.0,0,0.0
1751113960.2761538,-12.999977111816406,-12.999977111816406,0.0,0.022794440315194352,0.0,0,0.0
1751113960.326784,-12.999977111816406,-12.999977111816406,0.0,0.018235552252155483,0.0,0,0.0
1751113960.3773193,-12.999977111816406,-12.999977111816406,0.0,0.014588441801724387,0.0,0,0.0
1751113960.4280114,-14.000007629394531,-14.000007629394531,0.0,0.01167075344137951,0.0,0,0.0
1751113960.4782503,-21.0,-21.0,0.0,0.009336602753103608,0.0,0,0.0
1751113960.5289342,-21.0,-21.0,0.0,0.007469282202482887,0.0,0,0.0
1751113960.5795274,-23.000015258789062,-23.000015258789062,0.0,0.00597542576198631,0.0,0,0.0
1751113960.6302283,-23.000015258789062,-23.000015258789062,0.0,0.004780340609589049,0.0,0,0.0
1751113960.6809494,-23.999984741210938,-23.999984741210938,0.0,0.003824272487671239,0.0,0,0.0
1751113960.7316568,-25.0,-25.0,0.0,0.0030594179901369915,0.0,0,0.0
1751113960.7823296,-26.0,-26.0,0.0,0.0019580275136876746,0.0,0,0.0
