timestamp,yaw,yaw_virtual,velocity,filtered_velocity,forward_velocity,lateral_velocity,angular_velocity
1751113993.2787359,-6.000053405761719,-6.000053405761719,0.0,2.4958607299301625e-66,0.0,0,0.0
1751113993.329557,-6.000053405761719,-6.000053405761719,0.0,1.99668858394413e-66,0.0,0,0.0
1751113993.379881,-6.000053405761719,-6.000053405761719,0.0,1.5973508671553041e-66,0.0,0,0.0
1751113993.4301543,-6.000053405761719,-6.000053405761719,0.0,1.2778806937242434e-66,0.0,0,0.0
1751113993.4809737,-6.000053405761719,-6.000053405761719,0.0,1.0223045549793948e-66,0.0,0,0.0
1751113993.5316126,-6.000053405761719,-6.000053405761719,0.0,8.178436439835159e-67,0.0,0,0.0
1751113993.5820596,-6.000053405761719,-6.000053405761719,0.0,6.542749151868127e-67,0.0,0,0.0
1751113993.6326904,-6.000053405761719,-6.000053405761719,0.0,5.234199321494502e-67,0.0,0,0.0
1751113993.6834903,-6.000053405761719,-6.000053405761719,0.0,3.3498875657564816e-67,0.0,0,0.0
1751113993.7341878,-6.000053405761719,-6.000053405761719,0.0,3.3498875657564816e-67,0.0,0,0.0
1751113993.784814,-6.000053405761719,-6.000053405761719,0.0,2.1439280420841485e-67,0.0,0,0.0
1751113993.835635,-6.000053405761719,-6.000053405761719,0.0,2.1439280420841485e-67,0.0,0,0.0
1751113993.886266,-6.000053405761719,-6.000053405761719,0.0,1.372113946933855e-67,0.0,0,0.0
1751113993.9365435,-6.000053405761719,-6.000053405761719,0.0,1.372113946933855e-67,0.0,0,0.0
1751113993.9870203,-6.000053405761719,-6.000053405761719,0.0,8.781529260376674e-68,0.0,0,0.0
1751113994.037617,-6.000053405761719,-6.000053405761719,0.0,8.781529260376674e-68,0.0,0,0.0
1751113994.0881557,-6.000053405761719,-6.000053405761719,0.0,5.620178726641072e-68,0.0,0,0.0
1751113994.1388016,-6.000053405761719,-6.000053405761719,0.0,5.620178726641072e-68,0.0,0,0.0
1751113994.1893868,-6.000053405761719,-6.000053405761719,0.0,3.596914385050286e-68,0.0,0,0.0
1751113994.2397726,-6.000053405761719,-6.000053405761719,0.0,3.596914385050286e-68,0.0,0,0.0
1751113994.290379,-6.000053405761719,-6.000053405761719,0.0,2.3020252064321835e-68,0.0,0,0.0
1751113994.3410416,-6.000053405761719,-6.000053405761719,0.0,2.3020252064321835e-68,0.0,0,0.0
1751113994.3916566,-6.000053405761719,-6.000053405761719,0.0,1.4732961321165976e-68,0.0,0,0.0
1751113994.4422946,-6.000053405761719,-6.000053405761719,0.0,1.4732961321165976e-68,0.0,0,0.0
1751113994.4930136,-6.000053405761719,-6.000053405761719,0.0,9.429095245546224e-69,0.0,0,0.0
1751113994.5433369,-6.000053405761719,-6.000053405761719,0.0,9.429095245546224e-69,0.0,0,0.0
1751113994.5940309,-6.000053405761719,-6.000053405761719,0.0,6.034620957149584e-69,0.0,0,0.0
1751113994.6444585,-6.000053405761719,-6.000053405761719,0.0,6.034620957149584e-69,0.0,0,0.0
1751113994.6951506,-6.000053405761719,-6.000053405761719,0.0,3.8621574125757344e-69,0.0,0,0.0
1751113994.7457967,-6.000053405761719,-6.000053405761719,0.0,3.8621574125757344e-69,0.0,0,0.0
1751113994.7963567,-6.000053405761719,-6.000053405761719,0.0,2.47178074404847e-69,0.0,0,0.0
1751113994.8468602,-6.000053405761719,-6.000053405761719,0.0,2.47178074404847e-69,0.0,0,0.0
1751113994.897366,-4.999969482421875,-4.999969482421875,0.7400000095367432,0.14800000190734863,0.0,0,0.0
1751113994.9478986,-4.999969482421875,-4.999969482421875,0.7400000095367432,0.14800000190734863,0.0,0,0.0
